employee_id,first_name,last_name,email,phone,hire_date,termination_date,store_id,job_title
23,Aadhya,Verma,aadhya.verma@gmail.com,+91-7406728020,2018-04-12,,6800,Visual Merchandiser
24,Diya,Yadav,diya.yadav@yahoo.in,+91-7810101390,2019-03-22,,6100,Visual Merchandiser
25,Diya,Khan,diya.khan@outlook.com,+91-6239562589,2018-04-27,,11327,Inventory Executive
26,Shaurya,Verma,shaurya.verma@gmail.com,+91-9553763217,2020-06-30,,5630,Sales Associate
27,Ananya,Khan,ananya.khan@outlook.com,+91-6190809282,2022-04-03,,1742,Sales Associate
28,Sai,Nair,sai.nair@gmail.com,+91-7091335446,2021-01-26,,11408,Inventory Executive
29,Aisha,Chopra,aisha.chopra@yahoo.in,+91-8784069770,2020-10-12,,8784,Cashier
30,Vivaan,Mehta,vivaan.mehta@gmail.com,+91-7308471545,2025-03-26,,4276,Store Manager
31,Shaurya,Nair,shaurya.nair@outlook.com,+91-8563696056,2020-07-10,,10633,Cashier
32,Vihaan,Reddy,vihaan.reddy@yahoo.in,+91-7881807673,2019-04-07,,5140,Customer Support
33,Sai,Verma,sai.verma@yahoo.in,+91-7349219779,2019-05-24,,8986,Customer Support
34,Ishaan,Mishra,ishaan.mishra@yahoo.in,+91-9040420983,2022-05-13,,7992,Assistant Manager
35,Diya,Kulkarni,diya.kulkarni@outlook.com,+91-7327965606,2020-08-20,,9976,Sales Associate
36,Ananya,Reddy,ananya.reddy@croma.in,+91-8523159270,2020-04-14,,2915,Sales Associate
37,Aadhya,Verma,aadhya.verma@croma.in,+91-8725014907,2021-01-17,,2085,Visual Merchandiser
38,Aadhya,Kulkarni,aadhya.kulkarni@yahoo.in,+91-8000131917,2024-09-24,,1110,Inventory Executive
39,Aditya,Rao,aditya.rao@gmail.com,+91-9213325649,2021-08-15,,7293,Customer Support
40,Vivaan,Patel,vivaan.patel@yahoo.in,+91-6740753213,2018-01-13,,60,Inventory Executive
41,Kiara,Bose,kiara.bose@outlook.com,+91-8697804120,2019-07-30,,11329,Visual Merchandiser
42,Anika,Sharma,anika.sharma@outlook.com,+91-8435588816,2020-11-20,,7868,Assistant Manager
43,Ananya,Chopra,ananya.chopra@croma.in,+91-8926399912,2024-03-26,,6983,Cashier
44,Aarav,Khan,aarav.khan@croma.in,+91-9635046452,2021-05-26,,4120,Inventory Executive
45,Ananya,Bose,ananya.bose@croma.in,+91-9925874188,2025-01-03,,10837,Assistant Manager
46,Ira,Gupta,ira.gupta@croma.in,+91-7327250109,2022-12-11,,8126,Inventory Executive
47,Arjun,Shetty,arjun.shetty@outlook.com,+91-7814905813,2023-06-15,,2653,Store Manager
48,Ishaan,Gupta,ishaan.gupta@gmail.com,+91-8164248811,2024-10-05,,11220,Store Manager
49,Aadhya,Bose,aadhya.bose@yahoo.in,+91-8395916217,2019-06-24,,7244,Customer Support
50,Pari,Singh,pari.singh@yahoo.in,+91-8791145744,2020-09-03,,1770,Assistant Manager
51,Vivaan,Reddy,vivaan.reddy@croma.in,+91-7217369722,2023-12-05,,1693,Store Manager
52,Aadhya,Khan,aadhya.khan@gmail.com,+91-9061880415,2021-02-07,,7007,Inventory Executive
53,Ira,Reddy,ira.reddy@outlook.com,+91-9748518054,2018-04-03,,5192,Inventory Executive
54,Sai,Singh,sai.singh@gmail.com,+91-8256552180,2022-01-23,,8189,Sales Associate
55,Aadhya,Patel,aadhya.patel@croma.in,+91-8150562067,2020-06-17,,5417,Inventory Executive
56,Ananya,Yadav,ananya.yadav@gmail.com,+91-7734943544,2019-03-18,,4364,Store Manager
57,Arjun,Mehta,arjun.mehta@croma.in,+91-6191770230,2023-06-19,,1941,Assistant Manager
58,Diya,Verma,diya.verma@yahoo.in,+91-9141863054,2022-09-10,,10300,Visual Merchandiser
59,Ishaan,Ghosh,ishaan.ghosh@gmail.com,+91-7187484844,2022-06-10,,3030,Visual Merchandiser
60,Sara,Gowda,sara.gowda@outlook.com,+91-9390925075,2018-12-19,,8669,Assistant Manager
61,Pari,Gowda,pari.gowda@yahoo.in,+91-9838522336,2018-12-08,,1089,Store Manager
62,Diya,Shetty,diya.shetty@outlook.com,+91-7358875885,2018-06-21,,3089,Store Manager
63,Sara,Sharma,sara.sharma@gmail.com,+91-7575330692,2024-05-16,,9151,Inventory Executive
64,Anika,Das,anika.das@gmail.com,+91-6366298987,2023-10-02,,9068,Assistant Manager
65,Anika,Sharma,anika.sharma@croma.in,+91-8358628354,2022-08-24,,494,Assistant Manager
66,Ananya,Chopra,ananya.chopra@yahoo.in,+91-6402816578,2022-11-07,,4174,Customer Support
67,Sara,Gowda,sara.gowda@outlook.com,+91-7114046064,2025-05-05,,5649,Sales Associate
68,Pari,Bose,pari.bose@yahoo.in,+91-8512739137,2019-07-21,,875,Store Manager
69,Aditya,Gowda,aditya.gowda@outlook.com,+91-6031062286,2021-12-18,,8942,Store Manager
70,Anika,Sharma,anika.sharma@croma.in,+91-9321401575,2023-06-04,,2539,Cashier
71,Aditya,Singh,aditya.singh@yahoo.in,+91-8356095877,2024-09-04,,3162,Assistant Manager
72,Sara,Gupta,sara.gupta@outlook.com,+91-7948958006,2023-09-07,,10116,Inventory Executive
73,Vihaan,Singh,vihaan.singh@croma.in,+91-9406946019,2023-09-25,,416,Visual Merchandiser
74,Aisha,Yadav,aisha.yadav@croma.in,+91-7625962507,2022-10-29,,2990,Inventory Executive
75,Aarav,Singh,aarav.singh@yahoo.in,+91-6091537664,2021-08-29,,9468,Assistant Manager
76,Sara,Mishra,sara.mishra@yahoo.in,+91-6664577229,2021-04-23,,7230,Store Manager
77,Kiara,Patel,kiara.patel@gmail.com,+91-7548711988,2023-06-17,,6075,Cashier
78,Arjun,Iyer,arjun.iyer@outlook.com,+91-6168786869,2024-06-09,,6201,Store Manager
79,Vivaan,Reddy,vivaan.reddy@croma.in,+91-6908958341,2023-09-19,,2492,Sales Associate
80,Sai,Patel,sai.patel@outlook.com,+91-9165978513,2018-01-04,,511,Cashier
81,Sara,Gowda,sara.gowda@yahoo.in,+91-7563586063,2023-10-19,,11798,Assistant Manager
82,Anika,Mishra,anika.mishra@croma.in,+91-9456068816,2020-07-02,,9142,Visual Merchandiser
83,Arjun,Reddy,arjun.reddy@yahoo.in,+91-6814470113,2018-02-10,,11209,Assistant Manager
84,Sai,Ghosh,sai.ghosh@yahoo.in,+91-6944746636,2024-01-01,,4569,Visual Merchandiser
85,Vivaan,Nair,vivaan.nair@gmail.com,+91-9497248320,2021-12-26,,11503,Assistant Manager
86,Diya,Singh,diya.singh@gmail.com,+91-6513553945,2018-09-23,,4331,Store Manager
87,Ananya,Shetty,ananya.shetty@croma.in,+91-9669116722,2018-07-16,,8942,Assistant Manager
88,Ananya,Das,ananya.das@gmail.com,+91-7529633379,2025-05-13,,5594,Assistant Manager
89,Aditya,Chopra,aditya.chopra@outlook.com,+91-9302968149,2021-09-09,,10723,Sales Associate
90,Vihaan,Verma,vihaan.verma@gmail.com,+91-8399074965,2020-02-15,,9715,Assistant Manager
91,Pari,Ghosh,pari.ghosh@outlook.com,+91-6658128658,2021-04-14,,8130,Store Manager
92,Arjun,Rao,arjun.rao@outlook.com,+91-9199819872,2022-12-04,,4147,Customer Support
93,Vihaan,Yadav,vihaan.yadav@gmail.com,+91-6526605558,2024-07-19,,6313,Visual Merchandiser
94,Myra,Iyer,myra.iyer@yahoo.in,+91-8400949874,2018-11-26,,10131,Visual Merchandiser
95,Sai,Sharma,sai.sharma@croma.in,+91-9122938477,2024-05-25,,4723,Customer Support
96,Arjun,Khan,arjun.khan@gmail.com,+91-8451254037,2021-06-06,,5379,Store Manager
97,Aadhya,Rao,aadhya.rao@outlook.com,+91-8004588699,2024-03-06,2025-07-19,9597,Customer Support
98,Ananya,Nair,ananya.nair@outlook.com,+91-7356791567,2021-07-30,,11057,Assistant Manager
99,Aadhya,Sharma,aadhya.sharma@gmail.com,+91-9787610149,2021-09-07,,8863,Cashier
100,Sara,Verma,sara.verma@croma.in,+91-7589354214,2023-05-01,,5790,Assistant Manager
101,Aadhya,Sharma,aadhya.sharma@croma.in,+91-9024381160,2020-06-19,,3053,Cashier
102,Sai,Iyer,sai.iyer@outlook.com,+91-7998548922,2020-06-11,,10652,Visual Merchandiser
103,Diya,Mehta,diya.mehta@gmail.com,+91-9682550253,2023-08-20,,9745,Store Manager
104,Kiara,Gupta,kiara.gupta@gmail.com,+91-8255209333,2021-05-24,,11873,Customer Support
105,Pari,Iyer,pari.iyer@gmail.com,+91-6868599438,2019-05-24,,8929,Customer Support
106,Vivaan,Reddy,vivaan.reddy@gmail.com,+91-7459009948,2023-11-17,,109,Sales Associate
107,Aarav,Ghosh,aarav.ghosh@gmail.com,+91-7133265273,2019-02-04,,2091,Cashier
108,Rudra,Mehta,rudra.mehta@outlook.com,+91-6987983049,2019-08-20,,9726,Assistant Manager
109,Krishna,Khan,krishna.khan@gmail.com,+91-7773741156,2023-01-11,,1168,Inventory Executive
110,Sara,Shetty,sara.shetty@croma.in,+91-6101389482,2023-04-18,,6626,Visual Merchandiser
111,Aisha,Sharma,aisha.sharma@croma.in,+91-7675795140,2025-08-29,,2555,Inventory Executive
112,Diya,Reddy,diya.reddy@croma.in,+91-8231311903,2019-01-07,,7063,Sales Associate
113,Kiara,Rao,kiara.rao@yahoo.in,+91-7852562042,2022-07-26,,3574,Visual Merchandiser
114,Vihaan,Shetty,vihaan.shetty@gmail.com,+91-8942268328,2025-03-17,,10131,Customer Support
115,Pari,Das,pari.das@gmail.com,+91-7921951994,2019-03-01,2021-12-03,421,Visual Merchandiser
116,Ananya,Chopra,ananya.chopra@gmail.com,+91-7819591266,2020-01-14,,7247,Customer Support
117,Ira,Shetty,ira.shetty@outlook.com,+91-8994726675,2024-10-31,,6776,Customer Support
118,Shaurya,Kulkarni,shaurya.kulkarni@yahoo.in,+91-6637836000,2018-05-25,,8312,Store Manager
119,Diya,Gowda,diya.gowda@yahoo.in,+91-7177695153,2018-08-12,,4632,Store Manager
120,Aditya,Rao,aditya.rao@yahoo.in,+91-6432164805,2023-06-24,,10651,Inventory Executive
121,Aadhya,Sharma,aadhya.sharma@outlook.com,+91-8181791617,2020-12-21,,6035,Sales Associate
122,Ananya,Verma,ananya.verma@yahoo.in,+91-7521457964,2022-11-05,,9488,Sales Associate
123,Pari,Gupta,pari.gupta@gmail.com,+91-8244230755,2025-05-22,,3656,Store Manager
124,Aisha,Ghosh,aisha.ghosh@outlook.com,+91-8312484918,2024-10-15,,461,Store Manager
125,Pari,Gowda,pari.gowda@outlook.com,+91-8345396030,2018-09-17,,6638,Visual Merchandiser
126,Myra,Reddy,myra.reddy@yahoo.in,+91-6179550885,2025-03-13,,504,Sales Associate
127,Anika,Mishra,anika.mishra@croma.in,+91-7503559950,2021-05-24,,5758,Visual Merchandiser
128,Ira,Sharma,ira.sharma@gmail.com,+91-9595387147,2021-08-01,2022-10-06,6517,Visual Merchandiser
129,Shaurya,Yadav,shaurya.yadav@outlook.com,+91-9606746340,2022-09-13,,3096,Inventory Executive
130,Vivaan,Mehta,vivaan.mehta@outlook.com,+91-8195095322,2021-03-30,,6370,Inventory Executive
131,Aditya,Bose,aditya.bose@yahoo.in,+91-9842693912,2021-10-21,,10847,Sales Associate
132,Ananya,Yadav,ananya.yadav@yahoo.in,+91-6630157810,2022-11-06,,11153,Sales Associate
133,Aisha,Chopra,aisha.chopra@outlook.com,+91-7952909698,2024-04-10,,1838,Inventory Executive
134,Diya,Bose,diya.bose@gmail.com,+91-9150239222,2024-03-20,2025-08-29,5473,Inventory Executive
135,Kiara,Reddy,kiara.reddy@outlook.com,+91-8515623836,2023-09-07,2025-01-06,7208,Inventory Executive
136,Sai,Gupta,sai.gupta@yahoo.in,+91-6846761362,2021-03-19,,5353,Cashier
137,Vivaan,Shetty,vivaan.shetty@croma.in,+91-6237915615,2019-09-16,,9863,Store Manager
138,Vihaan,Reddy,vihaan.reddy@outlook.com,+91-9760497965,2022-02-12,,11080,Sales Associate
139,Arjun,Bose,arjun.bose@yahoo.in,+91-9818561445,2021-03-03,,5636,Assistant Manager
140,Arjun,Mehta,arjun.mehta@yahoo.in,+91-7320066805,2021-06-24,,9295,Store Manager
141,Ishaan,Sharma,ishaan.sharma@outlook.com,+91-8328817061,2018-08-02,,8884,Sales Associate
142,Aisha,Sharma,aisha.sharma@outlook.com,+91-7466315049,2022-06-07,,11925,Visual Merchandiser
143,Vihaan,Gowda,vihaan.gowda@croma.in,+91-6351960813,2022-01-01,,11400,Store Manager
144,Krishna,Rao,krishna.rao@outlook.com,+91-8683268814,2019-04-22,,9318,Customer Support
145,Rudra,Shetty,rudra.shetty@yahoo.in,+91-7875477834,2024-11-14,,4897,Customer Support
146,Kiara,Mishra,kiara.mishra@outlook.com,+91-6146651193,2021-12-23,,5457,Inventory Executive
147,Pari,Iyer,pari.iyer@croma.in,+91-7023063920,2025-04-14,,8216,Inventory Executive
148,Sai,Sharma,sai.sharma@yahoo.in,+91-9581250125,2018-08-02,,4492,Cashier
149,Krishna,Iyer,krishna.iyer@croma.in,+91-6496638953,2022-05-02,,1425,Cashier
150,Diya,Nair,diya.nair@gmail.com,+91-8867002824,2025-02-25,,2274,Customer Support
151,Aisha,Ghosh,aisha.ghosh@yahoo.in,+91-7038633763,2024-08-03,,10862,Sales Associate
152,Vivaan,Gupta,vivaan.gupta@croma.in,+91-9217355890,2021-12-13,,4036,Store Manager
153,Vivaan,Patel,vivaan.patel@croma.in,+91-9015231134,2020-04-18,,6715,Inventory Executive
154,Aisha,Gowda,aisha.gowda@gmail.com,+91-8915216056,2024-09-05,,6157,Store Manager
155,Rudra,Das,rudra.das@outlook.com,+91-8918711177,2023-02-25,,10298,Sales Associate
156,Aadhya,Rao,aadhya.rao@gmail.com,+91-6752798667,2022-05-23,,5961,Assistant Manager
157,Ira,Bose,ira.bose@yahoo.in,+91-9058140573,2021-04-25,,5795,Visual Merchandiser
158,Aditya,Reddy,aditya.reddy@yahoo.in,+91-7932525148,2023-04-13,,11081,Assistant Manager
159,Aditya,Iyer,aditya.iyer@yahoo.in,+91-9366017763,2018-07-25,,10785,Inventory Executive
160,Sara,Mehta,sara.mehta@outlook.com,+91-6359870297,2019-01-05,,5088,Visual Merchandiser
161,Ishaan,Singh,ishaan.singh@croma.in,+91-9010166233,2019-03-29,,947,Visual Merchandiser
162,Aarav,Iyer,aarav.iyer@yahoo.in,+91-9435760397,2021-12-30,,2488,Customer Support
163,Anika,Khan,anika.khan@outlook.com,+91-9329327478,2024-12-24,,2018,Store Manager
164,Pari,Ghosh,pari.ghosh@outlook.com,+91-9016254358,2018-06-26,2024-04-13,330,Visual Merchandiser
165,Arjun,Ghosh,arjun.ghosh@yahoo.in,+91-9622353286,2021-08-05,,1088,Store Manager
166,Pari,Gowda,pari.gowda@gmail.com,+91-6566569581,2018-09-04,,1397,Customer Support
167,Ira,Khan,ira.khan@gmail.com,+91-6300317771,2021-04-15,,2437,Cashier
168,Shaurya,Reddy,shaurya.reddy@gmail.com,+91-9251601722,2020-11-22,,199,Cashier
169,Ishaan,Yadav,ishaan.yadav@yahoo.in,+91-8745925958,2024-01-11,,5316,Sales Associate
170,Vihaan,Gupta,vihaan.gupta@outlook.com,+91-7852078476,2025-07-01,,5425,Assistant Manager
171,Ananya,Mishra,ananya.mishra@outlook.com,+91-8009300103,2018-07-14,,6523,Customer Support
172,Vihaan,Khan,vihaan.khan@croma.in,+91-6571742771,2025-04-25,2025-07-18,6745,Cashier
173,Diya,Gupta,diya.gupta@croma.in,+91-7611148779,2025-07-17,,754,Cashier
174,Diya,Ghosh,diya.ghosh@croma.in,+91-6011205495,2025-05-28,,4731,Customer Support
175,Vihaan,Khan,vihaan.khan@yahoo.in,+91-8569407144,2019-11-28,,9205,Customer Support
176,Rudra,Chopra,rudra.chopra@outlook.com,+91-8209839898,2025-04-23,,116,Customer Support
177,Pari,Patel,pari.patel@outlook.com,+91-7468028928,2018-09-21,2020-06-28,7049,Store Manager
178,Diya,Rao,diya.rao@croma.in,+91-7836971085,2022-11-25,,4165,Inventory Executive
179,Aarav,Rao,aarav.rao@gmail.com,+91-6590933765,2023-04-23,,6959,Assistant Manager
180,Aarav,Bose,aarav.bose@outlook.com,+91-9884171353,2020-08-19,,3232,Cashier
181,Shaurya,Das,shaurya.das@outlook.com,+91-9499345135,2020-04-21,,10096,Visual Merchandiser
182,Kiara,Yadav,kiara.yadav@yahoo.in,+91-6019250215,2018-05-26,,3373,Store Manager
183,Diya,Chopra,diya.chopra@yahoo.in,+91-7309193679,2023-01-11,,9456,Cashier
184,Krishna,Kulkarni,krishna.kulkarni@yahoo.in,+91-9843629142,2025-06-03,,9536,Store Manager
185,Ananya,Singh,ananya.singh@yahoo.in,+91-6138849061,2022-12-14,,1117,Cashier
186,Ananya,Singh,ananya.singh@outlook.com,+91-6594633304,2022-08-22,,7742,Customer Support
187,Pari,Rao,pari.rao@yahoo.in,+91-9234738787,2018-03-08,,475,Visual Merchandiser
188,Sara,Das,sara.das@yahoo.in,+91-6041869699,2021-10-12,,11940,Cashier
189,Aarav,Sharma,aarav.sharma@croma.in,+91-6165189614,2022-03-04,,3646,Customer Support
190,Anika,Chopra,anika.chopra@gmail.com,+91-7230424504,2020-02-16,2025-05-09,8868,Customer Support
191,Aisha,Verma,aisha.verma@gmail.com,+91-9871464013,2018-08-17,,6787,Cashier
192,Aisha,Shetty,aisha.shetty@croma.in,+91-7890403934,2021-03-21,2025-03-10,1762,Inventory Executive
193,Vivaan,Gowda,vivaan.gowda@croma.in,+91-6597005411,2020-07-05,,8269,Cashier
194,Kiara,Verma,kiara.verma@croma.in,+91-6997288655,2024-04-27,2025-04-05,11367,Customer Support
195,Vivaan,Verma,vivaan.verma@yahoo.in,+91-7457133796,2018-12-30,,5663,Assistant Manager
196,Sai,Chopra,sai.chopra@yahoo.in,+91-6633531646,2022-05-15,,7300,Visual Merchandiser
197,Krishna,Bose,krishna.bose@gmail.com,+91-8154870781,2019-11-20,,11923,Visual Merchandiser
198,Sara,Mishra,sara.mishra@gmail.com,+91-6463091064,2022-04-19,,1083,Sales Associate
199,Vihaan,Mishra,vihaan.mishra@gmail.com,+91-6679841657,2024-03-20,,9623,Cashier
200,Pari,Gowda,pari.gowda@croma.in,+91-9478924182,2022-12-30,,9306,Inventory Executive
201,Sara,Chopra,sara.chopra@yahoo.in,+91-7676937469,2018-01-20,,4368,Assistant Manager
202,Pari,Mishra,pari.mishra@outlook.com,+91-9108197862,2021-01-19,,11623,Customer Support
203,Rudra,Gupta,rudra.gupta@outlook.com,+91-6109743265,2022-05-08,,8561,Store Manager
204,Ishaan,Singh,ishaan.singh@outlook.com,+91-9166067834,2021-04-02,,2739,Visual Merchandiser
205,Pari,Nair,pari.nair@gmail.com,+91-6957027402,2019-02-26,,10662,Store Manager
206,Aarav,Sharma,aarav.sharma@outlook.com,+91-6294839514,2019-08-12,,7018,Visual Merchandiser
207,Krishna,Khan,krishna.khan@yahoo.in,+91-9311524515,2022-03-05,,11458,Customer Support
208,Aarav,Reddy,aarav.reddy@gmail.com,+91-9966133581,2020-03-04,,10749,Store Manager
209,Ananya,Singh,ananya.singh@yahoo.in,+91-6398065386,2019-01-07,,4078,Customer Support
210,Vihaan,Khan,vihaan.khan@gmail.com,+91-7023051048,2018-09-05,,4343,Visual Merchandiser
211,Aadhya,Mishra,aadhya.mishra@yahoo.in,+91-9110959469,2019-02-20,,5263,Cashier
212,Ishaan,Mehta,ishaan.mehta@yahoo.in,+91-6626866122,2024-09-18,,5641,Cashier
213,Ira,Shetty,ira.shetty@gmail.com,+91-7332591892,2019-08-21,,2255,Assistant Manager
214,Pari,Rao,pari.rao@outlook.com,+91-8347603092,2018-09-06,,4630,Store Manager
215,Vihaan,Das,vihaan.das@yahoo.in,+91-9851919868,2023-10-02,,8013,Cashier
216,Arjun,Patel,arjun.patel@gmail.com,+91-7741847147,2023-11-18,,3498,Cashier
217,Sai,Mehta,sai.mehta@outlook.com,+91-7945621174,2023-04-25,,7219,Customer Support
218,Vivaan,Gupta,vivaan.gupta@gmail.com,+91-8843901910,2018-01-26,,3009,Assistant Manager
219,Ishaan,Chopra,ishaan.chopra@outlook.com,+91-9282718495,2018-11-24,,3111,Cashier
220,Aadhya,Singh,aadhya.singh@outlook.com,+91-7845659532,2021-05-03,,7193,Cashier
221,Aditya,Gowda,aditya.gowda@outlook.com,+91-7312584315,2021-07-03,,10216,Store Manager
222,Anika,Singh,anika.singh@outlook.com,+91-8374404019,2021-11-03,,8913,Visual Merchandiser
223,Sai,Khan,sai.khan@croma.in,+91-8969280982,2024-07-02,,3742,Visual Merchandiser
224,Aisha,Yadav,aisha.yadav@croma.in,+91-9707472354,2019-02-13,,8805,Store Manager
225,Ishaan,Bose,ishaan.bose@outlook.com,+91-6565845202,2019-06-23,,10770,Customer Support
226,Krishna,Chopra,krishna.chopra@gmail.com,+91-9486494667,2019-04-29,,426,Inventory Executive
227,Vivaan,Reddy,vivaan.reddy@outlook.com,+91-6248306323,2019-06-19,,11895,Cashier
228,Aditya,Chopra,aditya.chopra@gmail.com,+91-9033235397,2021-04-15,,5180,Inventory Executive
229,Aditya,Shetty,aditya.shetty@outlook.com,+91-9246108886,2023-05-16,,1899,Inventory Executive
230,Myra,Gowda,myra.gowda@croma.in,+91-9403525846,2018-03-21,,2631,Inventory Executive
231,Arjun,Das,arjun.das@outlook.com,+91-6954122597,2020-01-06,,3309,Sales Associate
232,Diya,Chopra,diya.chopra@gmail.com,+91-8018598415,2024-08-26,,8135,Customer Support
233,Ishaan,Gowda,ishaan.gowda@gmail.com,+91-9587895366,2020-06-21,,7190,Cashier
234,Aarav,Das,aarav.das@yahoo.in,+91-6443547072,2018-03-14,,11076,Inventory Executive
235,Rudra,Verma,rudra.verma@outlook.com,+91-7390490306,2020-09-09,,8153,Sales Associate
236,Diya,Chopra,diya.chopra@outlook.com,+91-9178836176,2018-04-25,,1303,Sales Associate
237,Sai,Verma,sai.verma@yahoo.in,+91-9425648644,2023-12-16,,4077,Inventory Executive
238,Vihaan,Khan,vihaan.khan@outlook.com,+91-6610926994,2020-08-03,,2336,Customer Support
239,Kiara,Singh,kiara.singh@gmail.com,+91-6039286042,2025-06-29,,11663,Cashier
240,Sara,Rao,sara.rao@croma.in,+91-8661745211,2021-08-28,2024-06-18,5144,Sales Associate
241,Kiara,Sharma,kiara.sharma@outlook.com,+91-6891719472,2022-12-28,,130,Cashier
242,Ananya,Yadav,ananya.yadav@yahoo.in,+91-9998336950,2019-01-11,,10276,Customer Support
243,Aditya,Gowda,aditya.gowda@yahoo.in,+91-8767263163,2021-08-08,,5895,Sales Associate
244,Aarav,Rao,aarav.rao@croma.in,+91-7203365844,2018-04-09,,4719,Inventory Executive
245,Ira,Shetty,ira.shetty@yahoo.in,+91-6850789859,2023-03-21,,5580,Customer Support
246,Sara,Singh,sara.singh@gmail.com,+91-7617141971,2024-03-18,,1638,Assistant Manager
247,Arjun,Mishra,arjun.mishra@croma.in,+91-7608561971,2024-05-06,,5377,Assistant Manager
248,Diya,Verma,diya.verma@gmail.com,+91-6774152698,2023-05-11,,1765,Assistant Manager
249,Shaurya,Mishra,shaurya.mishra@outlook.com,+91-9650370466,2018-07-18,,3432,Assistant Manager
250,Aditya,Mehta,aditya.mehta@outlook.com,+91-8088103820,2018-06-30,,8256,Visual Merchandiser
251,Kiara,Verma,kiara.verma@gmail.com,+91-7774268446,2024-03-14,,10236,Store Manager
252,Shaurya,Das,shaurya.das@yahoo.in,+91-7227879112,2024-01-24,,8965,Cashier
253,Kiara,Bose,kiara.bose@gmail.com,+91-6694033727,2020-04-23,,5410,Inventory Executive
254,Sai,Kulkarni,sai.kulkarni@croma.in,+91-8782846135,2025-04-29,,8230,Visual Merchandiser
255,Rudra,Rao,rudra.rao@croma.in,+91-6910880930,2024-07-27,,5010,Inventory Executive
256,Myra,Mehta,myra.mehta@croma.in,+91-7166893688,2020-12-22,,6723,Assistant Manager
257,Aarav,Gupta,aarav.gupta@yahoo.in,+91-7335571419,2024-03-22,,4492,Assistant Manager
258,Ishaan,Sharma,ishaan.sharma@gmail.com,+91-6197434076,2020-05-26,,8677,Customer Support
259,Sai,Singh,sai.singh@croma.in,+91-7689062233,2021-02-20,,5893,Customer Support
260,Ananya,Reddy,ananya.reddy@outlook.com,+91-9150294037,2022-07-16,,625,Customer Support
261,Sai,Das,sai.das@croma.in,+91-7458436097,2024-07-01,,11470,Customer Support
262,Aisha,Singh,aisha.singh@croma.in,+91-7997120051,2020-07-13,,3619,Sales Associate
263,Aarav,Das,aarav.das@outlook.com,+91-8383231490,2023-01-24,,9786,Customer Support
264,Diya,Iyer,diya.iyer@gmail.com,+91-6996036305,2022-07-23,,2039,Visual Merchandiser
265,Myra,Chopra,myra.chopra@gmail.com,+91-6342764720,2020-08-30,,4438,Store Manager
266,Aarav,Mishra,aarav.mishra@gmail.com,+91-6270201444,2021-08-20,,9989,Sales Associate
267,Ishaan,Gupta,ishaan.gupta@outlook.com,+91-8169334594,2022-07-11,,8817,Customer Support
268,Sai,Yadav,sai.yadav@croma.in,+91-7200925782,2019-05-24,,8063,Store Manager
269,Anika,Patel,anika.patel@yahoo.in,+91-8540065128,2021-08-02,,5833,Customer Support
270,Sai,Nair,sai.nair@gmail.com,+91-6726741149,2025-02-07,,11942,Inventory Executive
